,,,Course Evaluations 2014-2016,,,,,,,
6/12/2014,5,5,"overview of Studio Analysis, best practices, ",yes,"BOM, Simulation",subprocess,5,5,great instructor. deep knowledge. friendly,AMER
6/12/2014,5,5,To gain general knowledge and best practices of using Tibco Business Studio for analysts. ,Yes,"Setting up the Org Model, The Business object Model, and mapping the business process using BPMN standards. ",N/A,5,5,Very knowledgeable about the material he was teaching. He was very approachable and answered questions well. ,AMER
6/12/2014,3,3,"To be able to design RMS, BE-MM architecture",Yes,BE-MM and hawk,Introdution,5,5,good,AMER
6/12/2014,4,4,Understand the concepts of the product.,yes,"overall Architecture, workflow etc",nothing.,5,5,Knowledgable &amp; good ways/ideas to make class understand the concepts by examples.,AMER
6/12/2014,4,4,Learn the BE concepts,Yes very supportive,Good Overview of the Event processing products,Tibco Domain definition,5,5,excellent attitude,AMER
6/12/2014,5,5,To Learn BW Administrationa and Manage Tibco Operations and Infrastrucutre in our Organinzation. ,Yes..,"Tibco BW Administration,Deployment Startgies,EMS,Montring using Hawk and Load Balancing using EMS etc ",All topics were helpfuly ,5,5,Very techincal and very friendly proactive in all the sessions instructor took. Very Patientenly answered the questions. I would strongly recommend our Kishore Deotale my co-workers. ,APJ
6/12/2014,5,5,to gain a broad understanding of EMS administration,yes,Route EMS messaging,Load Balancing,5,5,"very professional, exhaustive in explanation of concepts",EMEA
6/12/2014,4,4,Understand the concepts on EMS messaging and administration more than covered in EMS201,yes,"Bridges and Routes, Fault tolerance",None,5,5,Really practical. Enjoyed the instruction method especially the use of the white board to further explain concepts.,EMEA
6/12/2014,5,5,"Gain a strong understanding of BE fundamentals, and administration skills.",Yes.,All topics were very helpful.,None.,5,5,"The instructor Mr. Gopal Erusu is, by general consensus, one of the very best we have trained with. He demonstrated great expertise and command over the subject, and was able to discuss all topics in depth, within the allotted time. We are truly impressed.",AMER
6/12/2014,5,5,"understand the architecture concepts, administration, process usage etc",it was good,"Distribute caching, BE concepts",BE-MM - We dont plan to use this tool,5,5,"knowledgeable, good diagrams on the board and able to explain outside of the book",AMER
6/12/2014,4,4,Get a high level understanding of Bussiness events and learn about individual componets of the product and a BE project.,Was very helpful.,All topics were very helpful.,NA,5,5,Very knowledgeable and explained the topics very effectively. Gave detailed diagrams of the various components of a BE system which helped better understand the topics.,AMER
6/12/2014,4,4,BE Concepts and BE Administration,yes,I had to miss the BE concepts; be Gopal went back to it a few times so that was very helpful,Tibco domain concepts and creation (already knew that as a Tibco Administrator),5,5,Gopal knew his stuff,AMER
6/12/2014,5,5,"Understand BE concepts, administration and management of BE apps",Yes,"BE concepts, cache management, threading model",NA,5,5,"Excellent knowledge, very good way of explaining concepts, helpful and able to answer all queries",AMER
6/12/2014,5,5,I expected to learn how to managed and deploy BE and configure for various scenarios.,it was fine.,The conceptual overview of BE was great.,BEMM was not useful.,5,5,He was very experienced and technically knowledgable.,AMER
6/9/2014,5,5,To discover AMX BPM,"Difficult to view slides as projector resolution not great, room to light (even with lights off).","Using 2.0 slides for 3.0 training, so there were a few differences but to be expected.",None,5,5,Both Kate and John were very good. I especially liked Johns real world experiences as it helped make the training modules more relative.,EMEA
6/9/2014,4,3,Gaining knowledge on how-tos and possibilities of the product and being able to implement pcoresses I am currently modeling at customer,no,setting up the amx bpm environment (administration),first couple of units of BPM401 as I was familiar with them,4,4,"Involved, patient, thoughtful",EMEA
6/9/2014,4,5,There was no information before the course as to its contents.,The projector wasn't very clear because the resolution was too low to display the full eclipse desktop,The information about the new features in BPM 3.0,all topics were useful,5,5,Very knowledgeable ,EMEA
6/16/2014,5,4,n/a,Yes.,n/a,n/a,5,4,Good.,EMEA
6/16/2014,5,5, , , , ,5,5,recommendable!,EMEA
6/16/2014,3,4,.,.,.,.,4,4,.,EMEA
6/20/2014,5,4,Know to monitoring in tibco Hawk,No slow inet connection,All topics,None,4,5,Good,APJ
6/12/2014,5,4,basic understanding of bpm to setup the next course  ,-,"simulation
building forms 
participants and subprocesses",-,5,5,"very knowledgable, able to answer questions",AMER
6/12/2014,4,4,"overview of analyst tools for AMX BPM &amp;amp; spotfire
context for our entire team to have a common understanding",yes,process modeling &amp;amp; spotfire,"simulations:  while interesting, tooling seems so limited as to make this not a very useful tool  

our business process team should design simulate and analyze processes using their own tools as part of the process to determine which processes to automate for execution",4,4,knowledgeable and professional,AMER
6/12/2014,4,4,To learn how to model workflows in BPM,It was fine,"BPM, OpenSpaces","Spotfire, although the demo was nice. ",5,5,Great time management. ,AMER
6/12/2014,5,5,"I wanted to learn about BPM including Org Models, Process Modeling, and Business Object models.",Yes.,"Organizational, process, and BOM.",Process Simulations.,5,5,He was very informative and easy to follow.,AMER
6/12/2014,4,5,Understand how the BPM process will add value to the company and if it can be introduced into the current program that I am working in.,Yes. The classroom environment works very well.,The BPMN with the timers was quite impressive. I also liked the spotfire inclusion into this training.,None. But the initial couple of hours on day 1 was a little slow.,5,5,He knew the subject really well and was able to answer even the tangential questions in a well constructed manner.,AMER
6/12/2014,5,5,Obtaining basic knowledge on Business Studio and hands-on experience. ,Yes,Creating data fields and forms,Simulating,5,5,He was very knowledgeable and kept it interesting.,AMER
6/2/2014,3,4,To better understand TIBCO - mostly to learn the design/development environment.,Yes,N/A,N/A,5,4,Ed is very knowledgable and a very helpful guy.,AMER
6/2/2014,4,4,To get an understanding of TIBCO ESB development software. Mainly to understand the designer more in depth.,Classroom was fine,n/a,n/a,5,4,Edward is very knowledgeable and helpful in the classroom.,AMER
6/2/2014,5,5,To learn something I didn't know,Yes,All were helpful,None,5,5,He was very knowledgable,AMER
6/2/2014,4,4,Learn How to work with BW and BE projects. Instructor answered all my questions with great satisfaction.,Yes,"BE CONCEPTS STATE M/C RULES etc.,",None,4,4,Good. Especially really good on BE Topics,AMER
6/2/2014,4,5,"Had very little exposure to BW and especially BE before the courses. Edward did an excellent job providing background for both courses, especially providing real world examples relating to many of the concepts.","In house training room worked well. We had to use VMs running in Google Chrome, which had some challenges with simple manipulation of text (copy/paste).",The labs were interesting an gave one hands on experience with the TIBCO Designer and the Business Events Studio/Eclipse environments. The entire BE course concepts were new for me.,"Not a topic, but our project designed 6 days of onsite training in 5 10 hour days.  This is grueling for a student being exposed to so many concepts and so much material.  Fatigue is an issue !",5,5,"Edward is extremely competent, capable, and resourceful. He covered most topics with the right amount of detail . . .  although once in a while he did stray off topic . . . usually in a constructive way !",AMER
6/2/2014,5,5, ,yes, , ,5,5, ,AMER
6/2/2014,3,4,To better understand TIBCO - mostly to learn the design/development environment.,Yes,N/A,N/A,5,4,Ed is very knowledgable and a very helpful guy.,AMER
6/2/2014,5,5,To learn something I didn't know,Yes,All were helpful,None,5,5,He was very knowledgable,AMER
6/2/2014,5,5, ,yes, , ,5,5, ,AMER
5/27/2014,4,4,na,na,na,na,4,4,na,AMER
5/30/2014,4,4,na,na,na,nana,4,4,na,AMER
6/9/2014,4,4,"Learn AMX BPM
Get information on AMX BPM 3.X
Network with BPM people",good equipment - Projector resolution to be improved,"platform set-up, process design, forms design, deployment and test","all was helpfull
Lack of materials on AMX BPM 3.X stuff",4,5,"Explanations were very clear, positive attitude",EMEA
6/9/2014,5,5,"Since I'd never worked with BPM before my expectation was to know my way around BPM; tips, tricks and so on. ",Yes. ,All of them except: (see next question:12),Export DAA file.,5,5,They know their way trough BPM,EMEA
6/2/2014,4,4,To get an understanding of TIBCO ESB development software. Mainly to understand the designer more in depth.,Classroom was fine,n/a,n/a,5,4,Edward is very knowledgeable and helpful in the classroom.,AMER
6/2/2014,4,4,Learn How to work with BW and BE projects. Instructor answered all my questions with great satisfaction.,Yes,"BE CONCEPTS STATE M/C RULES etc.,",None,4,4,Good. Especially really good on BE Topics,AMER
6/2/2014,4,5,"Had very little exposure to BW and especially BE before the courses. Edward did an excellent job providing background for both courses, especially providing real world examples relating to many of the concepts.","In house training room worked well. We had to use VMs running in Google Chrome, which had some challenges with simple manipulation of text (copy/paste).",The labs were interesting an gave one hands on experience with the TIBCO Designer and the Business Events Studio/Eclipse environments. The entire BE course concepts were new for me.,"Not a topic, but our project designed 6 days of onsite training in 5 10 hour days.  This is grueling for a student being exposed to so many concepts and so much material.  Fatigue is an issue !",5,5,"Edward is extremely competent, capable, and resourceful. He covered most topics with the right amount of detail . . .  although once in a while he did stray off topic . . . usually in a constructive way !",AMER
5/16/2014,5,5,To learn TIBCO EMS and best practise,N/A,"There are some errors in the workbook, especially the lab E.  Better fix those to save time in finding the issue.",nothing,5,5,Excellent.  Edward is knowledgable and very helpful.,AMER
5/16/2014,5,5,Basic knowledge on EMS server,yes,"learning more about durable subscribers, labs were good too",everything was good,5,5,very knowledgable and patient,AMER
5/27/2014,5,5,To learn BusinessWorks Administration.,Yes,Most of the topics were helpful.,--,5,5,Excellent - enjoyed the class very much.,AMER
5/27/2014,3,1,clear lectures and labs that mirror tibco administration work,the lectures weren't really informative at all.  It's impossible to both read and listen different things at the same time.  and the lectures didn't really explain the slides. ,deployment information,"the partner lab exercises were confusing.  The XX and YY notation could just rememoved, and replaced with &quot;your machine&quot; or &quot;your partner's machine&quot;.   That would help greatly, as it's impossible to match both the xx and yy instructions and the yours/your partners instructions for both partners. 

also, the bwpXX or replace bwpxx with your machine number &quot;most of the time but not always&quot; is unecessarily confusing.  Just use a different annotation, like bwp01 (or whatever your number is). ",4,1,"the instructor was incredibly knowledgable on the subject, and great with assisting class and troubleshooting so that we could progress on the labs",AMER
5/27/2014,5,5,To learn the primary administration tools for Tibco,"For parts of the Lab where machine to machine interaction was needed, there appeared to be some sort of network/routing issue making the completion of those labs parts impossible. We suspect this was a Amazon VM network/routing issue for some VM's. If a tool could be created to test this ability between VMs, hours of troubleshooting issues would be saved. 
This issues affected the completion of:
Lab F: Configure Other TIBCO Domain Components Exercise 2: Number 3 AND 
Lab G: Configurethe Domain Exercise 1 Number 4.",Updating the labs with improvement notes made by the instructor will help tremendously.,n/a,5,5,Edward has an indepth knowledge of Tibco and explainded the material thouroughly.  I would highly recommend Edward for for anyone interested in this class.,AMER
5/12/2014,5,5,general knowledge of the BE product,yes,N/A,N/A,5,5,he did a very good job,AMER
5/15/2014,5,5,Advanced BE,Yes. Amazon VM used disconnect very often.,Rules ,Ruels and Load Balacing,5,5,Excellent.,AMER
4/28/2014,4,4,Learn and Manage applications and BW engines using Tibco Administrator,Yes,Hawk,All were relevant,5,5,Good,AMER
6/16/2014,4,4,To learn administrative tasks with AS,na,na,na,5,4,Seems to be very knowledgeable and was able to explain the concept and other information very well.,AMER
6/16/2014,5,5,have a better understanding of Active spaces,yes,"metaspaces, spaces and security",none,5,5,he was knowledge about the product,AMER
6/16/2014,5,4,"To be able to Define and admininster Metadatas, Spaces, Tuple, etc",yes,All were fine,There was too much material to cover. The class pace at is challenging if you want to cover all the book and labs.,5,5,"Very knowledgable, he did a good job and was clear on the important topics.",AMER
6/16/2014,5,5,To meet the cource objectives and enhance knowledge. ,Yes.,MetaSpces and Spaces topics.,No Topics.,5,5,Good Technical knowledge and effectively communicated to explain each topics.,AMER
5/27/2014,4,4,"I never had a formal training of Administration, but administreting the BW servers to a moderate extent. I wanted to validate what I am doing as an BW Adminstroator is correct and also learn advanced Adminstration technicques which I can not perform in my work.","Online training should be little different than in-person classroom training. Especially where it involves partners. It's easier to do it in class, but way harded over the online considering webex, phones, chats etc.
","Deployments, managing deployed processes, monitoring.",N/A,4,5,"Edward Rayl has great knowledge and is Very helpful. Because of on-line training, and since he can't see us, his job gets very hard. You can vary your teaching based on body language and facial expressions of students in a classroom. But since he doesn't have this privilege in online training, it makes it little harder.",AMER
5/30/2014,4,3,N/A,The course material is too much for a single day. ,Rulebase Creation and monitoring of EMS and BW Proceses.,N/A,4,4,Very helpful and very patient. Has good knowledgeon the subject.,AMER
5/12/2014,5,5,Good Hands on experience with TIBCO BE. CEP Dymistified.,Yes,"I could not attend 80% of the training due to meetings at my job. Can't tell topics without reading manual.

Concept, Event, Action and Rules topics were very useful. ",None,5,5,"Excellent presentation, very accomodating and knowledgeable.",AMER
5/12/2014,4,4,Get an initial introduction to BE and its add-on products; how to use BE and learn about best practices.,"Yes, it was.",Introduction to BE; definitely real-world examples as well as hand-ons exercises,Didn't get to learn a lot on unit testing,5,5,I clearly understood his explainations and instructions. Each topics were explained with example which I really appreciated.,AMER
4/28/2014,5,5,Basic understanding of tibco EMS administration,"Very suportive, 2 participants only means very hands on instruction.",Anything convering buisness works administration - highly relevant to my job,Most aspects of designer as this will not be relevant to my line of work. Still good to cover due to troubleshooting.,5,5,"Great all around, ponctual, proactive and covered topics with proficiency",AMER
6/16/2014,5,4,My Expectation for this course are to be more know about the architecture in tibco,not quite slow internet connection,All the topic,none,4,4,Nice and good knowledge and experiences,APJ
6/16/2014,5,4,Learn about architecture in Tibco and what is the best practice for a few case in may project,yes support for learning,Fundamentals of TIBCO Architecture,nothing,4,4,"Good person, cooperative and good Moeslem.",APJ
6/22/2014,4,4,To get familiar with BE,Yes,All,None,4,4,Good,APJ
6/22/2014,4,5,To have a clear idea of BE works,yes,"Architechure, Functionalities",pattern matching,5,5,"good, very clear explanation",APJ
6/22/2014,4,4,to gain more knowledge on b.e,yes,"B.E Architecture,B.E Functionalties,Multiple Cache Systems",no,4,5,Good and Clear,APJ
6/22/2014,4,4,To explore more information on BE,yes,"Events,Rules and Architecture",Beadmin ,5,5,Good,APJ
6/16/2014,4,4,"learn about tibco architecture model, mapping, patttern-mapping, from the professional trainer","actually in the first time we have problem in network infrastructure, but in the middle of training the infrastructure is good",service compossite architecture,ems,4,4,"good traine, have much experience in tibco",APJ
6/16/2014,4,4,We can implemented for a simple event.,The Internet Connection was so bad.,Architecture Concepts,-,5,4,The instructor was great.,APJ
6/16/2014,4,4,Hope might mastering the TIBCO Architect.,The internet connection is not fast enough.,Messagging,None,4,3,"Highly skilled, but speech language makes some problem on understanding the course material.

But overall is satisfying.
",APJ
6/16/2014,4,3,Design the best practice to implement SOA with Tibco AMX,"No, the connection was the problem","The SOA Notation, typical use case of SOA",-,4,3,The instructor was very friendly and having good knowledge in how to build SOA,APJ
6/16/2014,5,5,to understood concept of tibco,"not bad, only internet connection problem",create process model in BPMN,no,5,5,the knowledge and skill very relevant for this course,APJ
6/16/2014,4,4,i know more about tibco architecture n can improve my skill,"no, low connection internet",Architecture concept,SCA,4,4,he completely know about the topics and helpul,APJ
6/16/2014,4,4,to learn the options I can use to deploy my projects and to monitor them while run time.,it was okay,"Managing, Monitoring Deployments
Installing &amp; Configuring Other TIBCO Components",The hole BW201: Essential of TIBCO ActiveMatrix BW 5.10 becore I have done it earlier befor,5,4,"He was very nice, but explained it for me a little bit to slowly",EMEA
6/16/2014,5,5,"To get advanced knowledge of TIBCO BW administration.
To be more familiar with TIBCO Designer tools.",certainly yes,"Managing and Monitoring Deployments - Custom Monitoring
Configuring the Domain - domain instances...
Troubleshooting user  access
Scripted Deployment - .ear deployment using AppManage...",none,5,5,"effective, knows how to transfer the knowledge to students, pleasant and patient
",EMEA
6/17/2014,4,4,"Understand concepts of Metaspace, Space, Tuples, Member be they SEEDERS/LEECHES and AS Utilities. Understand how to code spaces &amp; metaspaces in java or BW seeker apps. ",yes,Space Operations,All topics are relavent.,5,4,Ademola has a great deal of knowledgable with regard to TIBCO products. He is a very patient instructor.,AMER
6/17/2014,4,4,NA,NA,NANA,NA,4,4,NA,AMER
6/17/2014,5,5,Learn basics of TIBCO ActiveSpaces,"The VM setup is broken for me. The lecturer eventually assigned a new VM that works, but I lost time to complete lab.",Explanation of concepts,None,5,5,Knowledgeable,AMER
6/17/2014,5,5,learning active spaces,yes,all,none,5,5,good,AMER
6/17/2014,5,5,None,Yes,N/A,N/A,5,5,Ademola did another great job.,AMER
6/16/2014,5,5,jump-start with TWM,Yes,"High Availability, Security",N/A,5,5,Very good,AMER
6/18/2014,5,5,learn how we can use policy director in our company,great,Introduction to policy Director,none,5,5,he knew the product,AMER
6/18/2014,5,5,Yes,YEs,SSO,None,5,5,Very Good,AMER
6/18/2014,5,5,learn policy director,yes,all,none,5,5,good,AMER
6/18/2014,5,5,To meet the course objectives,Yes it was very effective.,Authentication and encrption,No,5,5,Good and effective,AMER
6/17/2014,4,4,to understood for architecture and concept of tibco,"not bad, only internetet connection","versioning,naming standard",-,4,4,skill and knowledge very good,APJ
6/17/2014,4,4,I KNOW HOW TO DESIGN ARCHITECT TIBCO AND HOW TO TUNNING AND BENCHMARKING,"NO, BECAUSE THE CONNECTION IS TO LOW","VERSIONING,TUNING AND BENCHMARKING",ALL OF TOPIC ARE HELPFUL,4,4,VERY GOOD,APJ
6/17/2014,4,5,Become knowing more of best practises,no slow internet connection,All,none,5,4,he was have very good knowledge,APJ
6/17/2014,4,5,"learn for benchmarking tibco process, tunning, versioning, and best practice in Tibco BW.",-,Benchmarking,-,4,5,Very Good,APJ
6/17/2014,5,4,"Learn about Tibco architect, Composite, Versioning, etc.",yes supported,All topics helpful,no,4,4,"good explanation. But the time too tight, so a few of topic not presented att all.",APJ
6/17/2014,4,4,"to learn about benchmarking tibco process, how to tunning tibco business works, how to set maximum performance in tibco, and define naming standard in tibco","yes, the classroom is very support for me",tibco benchmarking,naming standard,4,4,"good instructor, and best practical teacher",APJ
6/17/2014,4,4,can build a business process architecture design,Yes,All Topics,No topic,4,4,Good,APJ
6/16/2014,5,5,High level introduction to TWM configuration and administration,Yes,"Client-Server Integration
Securing communications
Monitoring
High availability",none.,5,5,He is very good. I have learned a great deal from him. He has good presentation skill. ,AMER
6/16/2014,4,4,"-EMS\TWS immersion
-Arch description
-Different deployments modes, etc...","mixed feelings: unable to properly interact with other attendees, except with the Host.",all,none,4,4,Good.,AMER
6/16/2014,4,3,To gain a better understanding of the product and see how we could better leverage our investment.,"yes, it was good although would like to have lab computers available for longer time if possible.","Overall, it was an ok course.  I would have rated this a 200 level course vs a 300 level.  While the labs were beneficial, it would be good to give a discussion of why we are doing what we are doing vs just following a script.  Would recommend some more indepth labs and link it to some real world scenarios that anyone could relate too.",Would have liked to be able to configure some HA scenarios as those are viable to anyone.,5,5,knowledgeable of the product being presented in the class,AMER
6/18/2014,4,4,To learn about this product and see how we can use it in our environment.,na,na,na,5,5,"Very knowledgeable and handled the class very well and answered, explained all questions clearly.",AMER
6/18/2014,5,5,.,Yes,Governing External Services,.,5,5,very knowledgeable of the Tibco product,AMER
6/18/2014,5,5,None,"Yes, very nice.",N/A,N/A,5,5,"Great job, as always",AMER
6/16/2014,5,5,Learn more about the resources and power of BW Studio.  Also Tibco Administration.  I wish Tibco had placed the book page number for the corresponding lecture slide.,Yes,Wiring of process variables,Anything related to security.  The admin's job..,5,5,Thoughtful and extremely knowledgable of the material.,AMER
4/15/2014,5,5,Learning basics of ActiveSpaces,Yes,"ActiveSpaces Overview
MetaSpace and Space Creations",Browser,5,5,Excellent,APJ
4/15/2014,4,4,wanted to learn new tech,yes,"Overview, Event Browser and Listener",none,4,4,good,APJ
4/15/2014,5,4,I can work on devlopment AS using JAVA,Yes.,"Security,Persistant",Nothing,5,5,Good,APJ
6/16/2014,5,5,to get familier with the product,Yes,"Caching , deployment ",none,5,5,He has very good understanding on the concepts and is very co operative,AMER
6/16/2014,5,4,Getting the required skills to start designing and developing a BE solution,Yes,"Rule inferencing and agenda
Fraud detection",Rules as web services,5,5,Good subject knowledge and effective training.,AMER
6/16/2014,4,5,"I expected to learn about BE architecture , development , deployment concepts",NA,"From a architecture perspective the logical architecture, components , caching model related topics were most helpful for me",NA,5,5,The instructor is very well versed with the course objectives and concents.,AMER
6/16/2014,5,5,Learn more about the development side of TIBCO. I am mostly involved with support. ,Yes,n/a,n/a,5,5,Great Instructor. Very helpful,AMER
6/16/2014,5,5,To learn about BE and the how it can be used for our company.,Yes,All topics were helpful since I have not used BE previously.,None,5,5,Very friendly and helpful if we were having any issues with labs or had any questions.,AMER
6/16/2014,3,4,To gain knowledge about BE ,It was very supportive,Topics on Day 1 were more helpful in order to understand the overall features of BE,Caching as just started understanding the concepts of BE,5,5,Very good in listening to the questions and answering the same.,AMER
6/16/2014,5,5,To learn BE,Yes it is,Topics on Day 1,None,5,5,Very impressive,AMER
6/16/2014,5,5,Developer knowledge on BE,The VM used for Training is not 100% supportive. I faced many VM issues where others overwrite my IP addresses in hosts file.,Business Events,BPL,5,5,Excellent knowledge,AMER
6/16/2014,4,3,To understand concepts of BE,N/A,As an analyst Decision Table section was most beneficial ,N/A,5,4,Very sound techinal expertise. Answered each question effectively,AMER
6/16/2014,5,5,My expectation was to be able to get some hands on experience with the product and understand how business use cases could be translated to project.,Yes,All the lab exercises were really helpful.,None,5,5,The instructor demonstrated strong knowledge about the subject and was able to explain all the concepts in detail very well.,AMER
6/16/2014,5,5,To learn and understand the concept of CEP solutions and how Tibco Business Events can be used in the enterprise.,The class room environment helped the interaction a lot better.,"Explanation of Events, Concepts. Caching concepts and its usage in BE.",None,5,5,Knowledgeable and was able to explain the concepts. He also took the time to explain few underlying concepts of the technology.,AMER
6/16/2014,5,5,A better understanding of BW so as to create alternative business solutions to solve Enterprise wide problems.,Was servicable.,Understanding the nature of this tool and how it spans across and can be used by multiple applications outside of Tibco.,"Those associated with Administrative tasks as from an application standpoint, I don't see this use being common within a anpplication team setting.",5,5,"Flexible, knowledable, easy to get along with.  Made the topics seem easily real world applicable.",AMER
6/16/2014,5,5,"Basic exposure to Tibco.

Class should be 3.5 or 4 days long for those that aren't already experienced.  Labs were rushed so had to read labs from book rather than understanding the whys.  I was unable to even begin labs G &amp; H due to time.  The instructor would've stayed but wouldn't have been able to begin those until well after last day of class ended.  ",yes,All topics,none,5,5,very knowledgable,AMER
4/3/2014,3,3,Learn TIBCO MFT,Yes,All,None,3,3,VGood,APJ
6/24/2014,5,5,"APIX facades, targets and routing",Yes,"Facades, Targets and Routing",None,5,5,Very good instructor,AMER
6/24/2014,5,5,Learn the expanded features of APIX,Yes,OAuth and partner setup,"All were helpful.  It would be better to stay consistent on one project, though.",5,5,Very knowledgable,AMER
6/25/2014,4,4,Getting AMX Admin knowledge,yes,Config Env and Nodes,-,4,4,"nice, helpful and well understandable",EMEA
6/16/2014,5,4,A greater understanding of the TIBCO designer program.,"I feel that there is simply too much material for 3 days of class for me personally. The labs felt almost like a race. However, Mike did a great job assisting people as necessary. Some of the documentation was vague for the labs and could have used more pictures pointing to some of the featuers and areas being discussed.","Coverage of Java usage within TIBCO as a called process
Functionality of the Designer software
Basic process design",Some of the administration as our projects are not totally administered by the team developing them.,5,5,He was very personable and easy to present questions to.,AMER
6/16/2014,4,4,Expand working knowledge of BW,Yes,"Groups, Adapters, Hawk Configuration",The basic review of BW,4,4,Very knowledgeable &amp; helpful,AMER
6/16/2014,5,4,I thought this was more of an advanced course coming in but the day one basics helped refresh my memory.,yes,The invoke process and groups,none,4,4,He was very knowledgable and very helpful. He made sure that everyone understood the topic before moving on.,AMER
6/16/2014,5,5,Learning the basic functions of Tibco.  The hands on labs really helped in understanding Tibco concepts and the tools.,Very supportive and very adaptive.,I enjoyed all topics.,Mainly administrative items but this was a good overview of the admin tools used for the Tibco environment.,5,5,"I enjoyed the instructor, very upbeat and made training a fun experience.",AMER
6/16/2014,5,4,To learn more about Tibco BusinessWorks,Yes,The material regarding Groups was interesting. Some of the tips presented cleared up confusion.,The Adapter material does not seem very useful.,4,4,Abrasive and dismissive to some of the students (not to me personally -- this was what I heard from others at lunch). Tended to present too much material between labs.,AMER
6/16/2014,5,5,Expectations were to learn how to develop services for tibco business works,We were given ample time to complete the lab assignments,Builing web services from projects.,I found all the topics covered helpful,5,5,Instructor is knowledgable and available to assist where students have issues or questions.,AMER
6/16/2014,4,4,"Learn the basics of BW applications,learn all the features available in BW to develop applications,learn how to deploy the applications and learn little bit about BW  administration",yes,All,none,5,5,Good,AMER
6/19/2014,4,4,Understand about realtime update notification in database using tibco db adapter,yes the class is very supportive for my course,Publish &amp; Subscriber type in ADB,Deployment of Adapter,4,4,"friendly teacher, much experience",APJ
6/19/2014,4,4,EXPERT ON TIBCO ADB,"NO,SLOW INTERNET ACCESS",ALL TOPICS ADB,NOTHING,4,4,"VERY GOOD, INTERACTIVE AND HELPFUL",APJ
6/19/2014,5,5,Understood concept ADB adapter and how to implemented,yes,ADB Request/Replay Services,-,4,4,"knowledge and skill very good, and recommended",APJ
6/19/2014,5,5,How to use ADBAdapters and know the architecture of TIBCO Adapter ActiveDatabase.,-,All of the topics,-,5,5,Great,APJ
6/19/2014,4,4,Best Practice in using DB Adapter,-,DB Adapter Concept,-,5,5,THe instructure very friendly and kindly explaining my question and labs,APJ
6/17/2014,5,5,"I want to know more about Business Works which I achieved to learn.

It fits with my expectations.",I was the only one in the class :-) so Answer is Yes.,Create Web services from Processes and Generating WSDL.,Group and Transaction (e.g. No much information in the book for XA Drivers).,5,5,Super and He is friendly.,EMEA
6/20/2014,5,5,understood how to define rulebases in webconsole,-,TIBCO Hawk Configuration,-,5,4,good knowledge and skill,APJ
4/2/2014,5,5,New knowledg.,werry supportive,"Trainigs, practical excercises.",not,5,5, ,EMEA
4/2/2014,4,2,"more info for administrators, not for developers",a,a,a,4,4,a,EMEA
6/16/2014,4,4,"- Have an understanding of the various TIBCO components
- Further explore TIBCO BusinessWorks
- Familiarize with Designer and its concepts","Yes it is, but the air conditioning is too cold - understand that it's centralized and nothing can be done about it though. But still freezing cold.","Designer, EMS","None - new to TIBCO, all topics were helpful",4,5,Awesome!,APJ
6/16/2014,5,5,To understand more how the Integration works and bring this knowledge to application,Yes,All of the topics,None,5,5,He is efficient and have the mastery of the topics,APJ
6/16/2014,5,5,To be able to understand how TIBCO BW integrates applications through the use of Designer and Administration ,Yes,"- Navigation in designer and administration
- Analyzing and creating processes in designer
- Generate web services
- Deployment in administration",None at all,5,5,Very knowledgeable in the topic and very helpful,APJ
6/19/2014,5,5,Meet the course objectives,Yes very nice learning environment,SOA and UDDI,No,5,5,Good Knowledge and implementation,AMER
6/19/2014,4,4,Learn about ALCG and see how we can use it in our environment.,na,na,na,5,5,Very knowledgeable.,AMER
6/19/2014,5,5,yes,yes,yes,none,5,5,good,AMER
6/19/2014,5,5,None,Yes,N/A,N/A,4,5,Ademola is very good at his job.,AMER
6/19/2014,5,5,learn life cycle governance,yes,all,none,5,5,good,AMER
6/19/2014,5,5,To be able to understand well the Tibco Administration,Yes,All of the topics,None,5,5,He knows well the topics and he is very efficient teacher.  He has the patience and humor that keeps his students in tuned and interested with the topics,APJ
6/19/2014,5,5,"To know how to set up and use TIBCO Administrator, and also how it is related to other TIBCO softwares",Yes,"Deployment, all configuration needed for a full setup","Deployment, load balancing, and all",5,5,"Very knowledgeable, approachable and helpful",APJ
6/20/2014,5,5,None,Yes,N/A,N/A,5,5,Ademola does a very good job.,AMER
4/16/2014,5,4,Administration of activespaces,Yes,All,None,5,5,Very helpful. Possess fair knowledge of all the topics,APJ
4/16/2014,4,4,to learn about AS admin,Yes,All,none,4,4,Good,APJ
4/16/2014,5,5,Get basic knowledge about AS,Yes,All,None,5,5,Excellent,APJ
4/16/2014,4,4,To be aware of the functionality available to monitor AS,Yes,Performance,None,4,4,Good,APJ
4/16/2014,5,5,Bigginner level knowledge of Active Space Admin,yes,security ,Browser,5,5,Instructor is having good knowledge,APJ
4/16/2014,4,4,Basics,Yes,Distribution and Replication,Everything was helpful,4,4,"Very nice ,helpful",APJ
4/16/2014,5,5,Improve knowledge about AS-Administrator.,Yes,"ASMM,AS-ADMIN Labs",nothing,5,5,Good,APJ
4/16/2014,4,3,To understand the basisc of Active space Administrator,yes it was supportive.,"Space operation, space storage and persistence",security,4,4,he was interactive and supportive.,APJ
